,logper1,secosw1,sesinw1,logk1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,9.856618406658125,0.8367881618734556,-0.3511971043582064,3.6280013718445994,18922.744942910937,-54.337348807829756,2.9530359010551233,-53.90064412607805,2.7702586149209303,-49.45977974002933,3.2527044280600155,-20.952147797543944,5.219504263892522,-1114.9229390236637
0.5,10.18638537042426,0.8572680719496277,-0.3195170399638127,3.6427540770426323,18966.810851554426,-52.31756550877288,3.322445409721834,-52.47921647456652,3.375629914095133,-47.36438672039344,3.708333821242886,-18.997343751596844,5.768974741328007,-1112.0386580329891
0.841,10.597583713936528,0.8778093290510021,-0.2875242502268333,3.657828112932366,19015.228113300556,-50.44977003681064,3.7513262848757885,-51.22061706385024,4.139514426168808,-45.44187719960309,4.1934974174818604,-17.213819165570072,6.350647962380284,-1109.8557330073888
