,logper1,secosw1,sesinw1,logk1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,10.023736200671024,0.8481549400345081,-0.35478139843973666,3.6334057082086444,18938.876217372235,-56.3078829209271,2.9378945574146975,-55.49406571732894,2.7405051769688455,-51.14927267092177,3.241199121130202,-22.98221219342652,5.228523801845433,-1142.466036305328
0.5,10.531913939321962,0.8740275241835952,-0.3249585473882772,3.6489871192581993,18984.086756443743,-53.746609051111406,3.3108451823864984,-53.52077786191089,3.335883903131617,-48.538421543036655,3.674819639837522,-20.506064645794808,5.776893944275266,-1139.5804964470553
0.841,11.23086695520076,0.8990156123273807,-0.2941186429803069,3.6651989379034875,19033.278902424165,-51.3173134016603,3.7388405820132373,-51.82552252676295,4.099186704503359,-46.050824813628324,4.140804526148024,-18.146967297956486,6.354096076439321,-1137.3909358470316
