,logper1,secosw1,sesinw1,logk1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,9.973983953532084,0.8441351427745406,-0.35666711180579624,3.6308111666355045,18932.59996796235,-55.27990253294159,2.9546799619886346,-54.57521739003119,2.756128238743276,-50.39146051685053,3.2499744198125686,-21.88383449233548,5.221592362097811,-1113.5194012158863
0.5,10.380005860550199,0.8660975903074715,-0.3245422597370718,3.6455810086896583,18979.369075778064,-53.14074063192506,3.3315520775621588,-53.018598342758025,3.3514190810825584,-48.18570421982463,3.7028489604009325,-19.804433855330064,5.770437920818159,-1110.6259947100698
0.841,10.867716622839918,0.8870993644050263,-0.29206460296839076,3.661032218656709,19030.969788611135,-51.07110991836259,3.768810851852117,-51.58232385781842,4.106079606673428,-46.081484858997115,4.1903871131445625,-17.817123359111086,6.34824907914863,-1108.4403652131116
