,per1,k1,secosw1,sesinw1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,25865.70963435423,37.93561264104613,0.8554835426700668,-0.35736892615522803,18947.55031785287,-56.6729006373887,2.932575577796112,-55.807728140931886,2.7280130520217174,-51.5216355735107,3.2432539055001346,-23.385258586774718,5.232881562007792,-1142.3387732421058
0.5,45595.78032342967,38.526308405011974,0.8812053310607186,-0.3281559455697134,18992.092059639894,-54.416266195256796,3.3054581691850666,-54.02929190069602,3.3162046453932836,-49.22803512521843,3.6772252055751524,-21.15961131535609,5.788187853806328,-1139.4902755215376
0.841,86919.7620069048,39.1402397341071,0.902632442065795,-0.29843345027180734,19039.961303784796,-51.96564243791228,3.7319534125359892,-52.21922330759579,4.06435280030161,-46.74265995596073,4.1417086820002655,-18.789776042936925,6.370166214231331,-1137.3268817570809
