,secosw1,sesinw1,logk1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,0.9081148711130127,-0.3088839765957164,3.6558678378119542,18939.602703170673,-58.27783477195633,2.9952483015671163,-56.92998106034218,2.7326123895779824,-53.712665284339444,3.388971682106881,-25.14370998490085,5.303625577747841,-1118.338419961197
0.5,0.9144095548291501,-0.2866645703033215,3.6723397286221706,18942.048034332893,-56.97082358753229,3.370606496948334,-55.94322078199811,3.2401463186566,-52.33743748901907,3.8292497587640377,-24.07345206052684,5.8794729592606325,-1112.797309705516
0.841,0.9250754315098008,-0.250740659477562,3.6950427947524886,18945.99146424073,-55.6020066762607,3.758742539140875,-54.746252691894284,4.032456435369486,-50.739815739981985,4.276257453342809,-22.99165454232911,6.389398111751525,-1110.2771355170403
