,per1,k1,secosw1,sesinw1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,25256.47927146319,37.788060490680806,0.8517301786280764,-0.35864749345406766,18942.45633017939,-55.34696567820905,2.9449205784937873,-54.64458690571785,2.7407566701585386,-50.478553512839454,3.241823894940043,-21.924258369305836,5.242186669266116,-1113.3519737489362
0.5,35586.0959538159,38.35461802158863,0.8704196143133848,-0.32870440008394125,18986.082951896715,-53.53304751213173,3.3226113170904465,-53.29122437088298,3.3355943737307494,-48.5808070810389,3.696261463712005,-20.185162373298766,5.7886677095944945,-1110.5031642376066
0.841,52127.624128585616,38.93259882451393,0.8877860018441863,-0.2981666326268896,19034.008654146513,-51.730705699514715,3.7536286123791682,-51.9915938889069,4.086437438461717,-46.72224797768379,4.185721017946003,-18.473246615693768,6.363119635826299,-1108.3412710461998
