,dvdt,logper1,secosw1,sesinw1,logk1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,-8.676101711705875e-05,9.648273817759526,0.8175357330844826,-0.36352364961699707,3.5872321783691326,18896.323970189962,-53.81914484808327,2.965703881306804,-53.5936272388137,2.731897981403206,-48.908918752553625,3.2342328599392673,-20.412230432781566,5.270729433023115,-1115.1326107702992
0.5,0.00045034337482644307,10.06508910955595,0.8470141329470394,-0.33002490918431276,3.620447001889615,18948.568103666355,-50.404350348226714,3.341453511139601,-49.61192960319594,3.3227573352378665,-45.47913088122701,3.6862999765496247,-17.014196085997476,5.825879253752468,-1112.153037003806
0.841,0.001044996926605573,10.512658711409152,0.8736035615407991,-0.29566033750833304,3.6525076119523487,19004.603182529278,-46.82397543363908,3.7853779815704445,-45.65661320306292,4.088530130007329,-41.88597596820706,4.168141102940584,-13.428240025293032,6.418437467277606,-1109.8558269064565
