,logper1,secosw1,sesinw1,logk1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,7.140572948782106,0.2141068017912129,-0.4444167177941125,2.9416938553677205,18524.70886703099,-42.326252842135375,3.0248742492579996,-3.87575717507848e+19,1.4564271874064514,-37.357518982753355,2.822355951797359,-7.00784642403991,4.238532770905385,-580.7029636143004
0.5,8.162962300944297,0.617023019992333,-0.3676338496685403,3.287957419426627,18671.908387815172,-23.267053819434864,3.4786798612324903,37045.232110350335,4.934160571778558,-18.531862857704873,3.355874155086448,11.928762221704098,5.149587234968074,-577.5862906151534
0.841,9.401931435114394,0.7953661231475839,-0.30459533755476603,3.5626897156967727,18886.149555652693,-5.193043834850512,4.032599192752799,4.64177563395149e+19,8.455673017647339,-0.24390481697647803,3.9239911304832287,30.11954682761996,6.161931106528679,-574.9419184242388
