,dvdt,logper1,secosw1,sesinw1,logk1,tc1,gamma_j,jit_j,gamma_k,jit_k,gamma_a,jit_a,gamma_m,jit_m,lnprobability
0.159,-0.00020455690917388705,9.701205129622718,0.8241247399210425,-0.3566153716559174,3.595035646760227,18900.70914474618,-54.85591167805444,2.9344276907944398,-54.84901824843133,2.746396055442697,-49.656304360329145,3.2359735403527847,-21.593830494261553,5.252309937387162,-1142.9650457168723
0.5,0.00032402271163168726,10.175398516760016,0.8554861362588375,-0.32622790497735765,3.6286996336498625,18954.833072521746,-51.23925646736096,3.3119239447809457,-50.678386101702934,3.3376551769146507,-46.0623450031468,3.665037010270706,-18.00215629293354,5.805356894668144,-1140.008333476364
0.841,0.0009154730036158914,10.724154446139366,0.8828928538522818,-0.2953833421021357,3.660621765480003,19009.638091238998,-47.40335669750583,3.7466261556210774,-46.40753245894191,4.106769591953977,-42.21630621215318,4.1288217218323515,-14.143271068568106,6.3893801485841415,-1137.7244946894316
